id, points
761834826533568542,127193.0000000000000000
200356389061656586,123459.0000000000000000
657442870772629534,116402.0000000000000000
403183888798711809,104000.0000000000000000
401139250281840640,101092.0000000000000000
804426495077908531,93722.5000000000000000
454285372864724993,87345.4000099830000000
804384305211637800,60200.0000000000008855
344148051973373952,50000.0099999999998750
684695583579177078,49115.0000000000000000
788627312701603871,47513.0000000000000000
821857199089385503,47004.5000000000000000
813364220585967637,46551.1010101000000000
808193268655325184,44930.5010000000000000
346803924692369429,37729.0000000000000000
673414365965320202,34123.0000000000000000
342966331441938442,32095.0000000000000000
210666186650681354,31006.0000000000000000
504306752485982239,31000.0000000000000000
685538103863148551,29750.0000000000000000
361850248328642560,28192.0000000000000000
413645369277153290,27547.0050000000000000
812581731965075456,27469.0000000000000000
817641487700459520,27068.0000000000000000
753762065210146926,27024.5000000000000000
817350901387362304,25873.5000000000000000
365573779432407041,24848.5000000000000000
310549575293468673,23391.7500000000000000
354271353320374284,22969.5000000000000000
664162702666760212,22849.5000000000000000
812738491401764924,21205.5000000000000000
551075449376079872,21180.0000000000000000
810973900305334273,20396.4000000000000000
388734083737452546,19534.0000000000000000
546106631679901696,19289.1269292989908625
209080470875537408,19127.5000000000000000
813817808328720394,18905.0000000000000000
830283119281176606,18875.0000000000000000
486915956195459072,18388.3000000000000000
449693997695500288,17946.0000000000000000
840163017995452417,17612.0000100000000000
375719428232577024,16004.0000000000000000
776558420143636501,15985.5900000000000000
812735193744015410,15477.5000000000000000
385797308232761346,15412.0000000000000000
823140914964725760,14821.1000000000000000
402524934187909120,14590.0000000000000000
422747049080127509,14555.5000000000000000
823810061847232543,14061.3000000000000000
438438173153034240,13948.0000000000000000
748182487905075302,13912.7000001000000000
402674058375856139,13327.6000000000000000
299860194140094464,12305.5999990000000000
707757482319020135,11827.5000000000000000
496781174954393611,11510.1180000000000000
359897442440839168,11500.0000000000000000
759862653635002388,11375.0000000000000000
415909333931524098,11326.4000000000000000
396237699729850379,11218.5000000000000000
810585468349579314,11170.1000000000000000
745287787502108700,11077.8000000000000000
731271442968084552,11000.0000000000000000
759086208529072138,10920.0000000000000000
468764581855232010,10823.0900000000000000
