twitter_id,balance
1226641028658192384,10.00
1445418775705178117,0.00
21306324,2001.95
914523847952609280,10.00
423167129,88.00
1954658424,729.17
78617337,119.53
174137479,118.16
1017223278606372872,148.00
221484642,25.00
1077958158,2.00
2564218633,21.53
60659933,122.00
905760591616278530,45.00
1403652969682411520,11.94
1359973443559710720,97.72
93529573,2.00
1445167266329362433,15.44
2725104191,54.38
513574059,1.00
1275856344130543616,7.00
16004800,37.89
1305948076113231873,89.92
999717186,5.00
760892,10.00
30040333,10.00
95751583,10.00
212910071,10.00
336178185,18.01
18339688,10.00
1018601771629989893,10.00
1371964464703143937,183.28
897151332850728962,197.22
1394612950367973378,10.00
20691274,5.00
997229735192252422,10.00
1117463157180706817,10.00
84502595,10.00
3048275126,10.00
790713990,5.28
147397613,10.00
866818062309363713,10.00
908120395945005056,10.00
1453366802692644864,10.00
24792117,142.44
40414191,40.50
1022614569989144577,10.00
386217075,10.00
1355504958,10.00
878945155335716864,10.00
1392536489976811520,78.00
962419423272456194,10.00
2413823088,10.00
168586732,10.00
1247502424119693313,62.00
1457483819381141699,10.00
1457483773059158021,10.00
1457483570721742852,10.00
1371604272,10.00
991202229909688320,10.00
1009786716884996096,10.00
1419356907224064000,10.00
1385531859728310272,15.44
951589828994330624,242.02
228481957,358.00
1386723834078932999,15.00
76381172,10.00
86089043,10.00
1426477041004732419,15.44
70284723,111.09
1976284428,10.00
1440531557345738759,13.00
1224022894646181889,10.00
703681861827076100,14.32
1459916444427247633,110.44
1389986433004359684,10.00
371711173,12.80
1450115926796419074,10.00
1358812755332124674,10.00
55146543,34.00
1357347551976935425,10.00
1368503480214814725,45.00
1382432285912354825,125.44
86538342,45.00
1434065818183159809,12.00
1392447841793187845,74.50
1365647089221435394,43.72
1346051273494323205,10.00
4877214999,10.68
967667452598542337,15.44
1445213081555066889,5.44
282844892,10.00
2596820286,15.44
1132113589815275520,15.44
1188838133372260357,10.00
575075619,10.00
237131908,110.00
978063728947224576,10.00
1378353298500161542,10.00
1381497423193800710,10.00
1009840587267301377,8.72
235751256,10.00
111777036,136.49
1268492745804521479,10.00
2372875902,10.00
4920036014,10.00
2961205707,44.41
1603115622,24.11
1296209149475217409,0.00
921539979788062721,2007.28
246291711,1188.01
1145983332460781569,13.50
67959644,2.00
278248976,54.15
386634446,56.44
1318997279328460801,4.00
2279728266,27.32
69085128,15.00
18300176,67.32
48861897,181.96
1357717304931479552,10.00
1378123655075356674,0.00
1855351,27.18
900257677955264512,12.50
1445003785131151367,2.00
1416826695064199169,17.00
535432945,0.00
1278355980472979457,29.72
14571055,8.46
267485701,2.00
51965307,2.00
119892470,2.00
277618799,2.00
369735258,27.18
52188203,54.14
28369153,2.00
5531562,152.18
777685806437785601,26.34
1325232745291788288,5.13
17856830,1.00
2970511,10.00
1080224756111106048,1.00
276898568,1.00
1440129922027098114,10.00
1420722223,2.00
856260757033451522,7.78
2286582692,1.00
331382754,2.72
11922492,30.00
2006261,10.00
41076593,5.00
21745410,50.00
1666038950,0.00
919602954386231297,5.44
1430548820514025474,0.00
1373655419097337859,5.50
12689732,30.00
1093198840105033728,0.00
1344393022394556423,5.44
810629980942057472,0.00
502346352,0.00
364992883,6.44
1390626032508710914,0.00
2775602782,2.78
3295877380,0.00
259367502,2.78
1461048221246144512,7.44
1427740768517697547,0.00
3145151,1.00
1437339065561624579,5.44
1405669888249716739,5.44
1390925349144387586,10.88
1410245766489194498,5.44
1454558168667746305,5.44
1400174433369735170,5.44
913945088,10.44
1456543219546791961,5.44
1438614937815994371,5.44
1394593353333985283,5.44
1394589491227242497,5.44
1394332616107692034,5.44
1394247959173378048,5.44
2326397472,5.44
1465768566578319367,184.68
1452972415676473348,5.44
3072002710,5.44
1009845346418257920,5.44
1374637390065766404,5.44
1408413353291272193,5.44
1446153087152840708,5.44
1438175510643814402,5.44
1394239892897636353,5.44
1392515672316522506,5.44
1392480853540868102,5.44
1437122428908486656,5.44
217726439,5.44
1436393762800816128,5.44
1437107104180015115,5.44
1383483882964602880,5.44
885675378,5.44
845881601338703873,5.44
1379454832117944320,5.44
1431750102700396547,10.00
1428778095645970434,5.44
1397274375242539014,5.44
819901694129696772,5.44
1374019053019398144,5.44
1374345335645081601,5.44
1014125285594329088,5.44
1361760195291062282,5.44
257636722,5.44
794273121180286976,5.44
223782562,5.44
3328856082,5.44
1392141611094659074,5.44
1373308853237002248,5.44
1014128071941738496,5.44
1325898030,5.44
1182603985410244609,5.44
1362348781732327426,5.44
1429828276915109888,5.44
3065761581,5.44
1362784750642094085,5.44
915193132257611776,5.44
945374700934455296,5.44
1438579237376647169,5.44
1009764334258540550,5.44
1349141572265390081,5.44
1456957617428111360,5.44
1003337907971772418,5.44
1392458986805420035,5.44
1385215457393774592,5.44
948497024608948225,5.44
1371905037635567623,5.44
1357670619924619264,10.44
1129433480,5.44
3235643587,5.44
1372997750309195777,5.44
1374033396050059271,5.44
1374022687933227010,5.44
1644555702,5.44
971136653317328897,5.44
1003292531499683841,5.44
1438188555256356870,10.44
1392472738233790471,5.44
2644064746,5.44
2300295067,5.44
957686840647127040,5.44
1234687772885012480,5.44
910485763812360193,5.44
1214708471796502530,5.44
1340498570139500544,5.44
910480697353293824,5.44
166934940,5.44
1465465195892031493,5.44
1397273456803205127,5.44
1397271241661337610,5.44
1372976905792675841,5.44
1441287600799584263,5.44
19212908,5.44
1470665870,5.44
1345853225564598272,5.44
171719596,9.76
100820843,5.44
1014852250294935553,5.44
410887445,5.44
44468402,5.44
411689173,5.44
54085193,5.44
1427707891109216258,5.44
783387206132137984,4.44
215393385,5.44
1424451194420752440,5.44
106677680,5.44
347223770,5.44
1362098306197958659,5.44
1362778669454925824,5.44
1361976929755295744,5.44
1363535451055915009,5.44
1383033031946956802,5.44
1434980367396638720,5.44
1430119751792029697,5.44
1447662485163610113,15.00
453376462,5.44
1392503415331299335,5.44
1292450332480622595,7.44
727728999162650624,96.80
1367477717525012480,7.44
44074228,5.44
18005542,5.44
1317132190845751302,5.44
2309892508,5.44
1365024976718475267,5.44
1436205965309792257,33.38
2283305268,5.44
729623336167211008,5.44
1339644453603172355,8.44
19824796,5.44
1162581573876645888,5.44
25319438,5.44
2745712448,5.44
1026561,5.44
8613272,25.94
1374104209092714497,5.44
952435220409708545,5.44
15572177,5.44
356402472,5.44
1437155282812121091,5.44
1003355204652339200,5.44
1392164339394781190,5.44
1392154247635128322,5.44
1392109198125805582,5.44
2182825320,5.44
18517064,5.44
986016017959849984,5.44
1309205267083526144,5.44
1432580255064133632,9.76
1106177940100911105,5.44
1267315076,5.44
2877152684,5.44
1410257836081360896,5.44
1374010531590340609,5.44
744072634841858048,5.44
1400170332942749698,5.44
1407252622537420802,5.44
28080970,5.44
1378147472518701058,5.44
908046112363249664,5.44
1236617183561687042,5.44
2438988403,5.44
1416543554046935043,5.44
932340529454514178,55.94
1363841788642000897,5.44
1095740580389445637,5.44
1317800051159257089,4.44
736989535,5.44
1290310905608232962,7.44
313491319,90.76
450068145,5.44
15200169,5.44
1360970701046489093,5.44
1013021507239309313,5.44
14806872,5.44
918302741025484801,5.44
3146424468,5.44
508968658,5.44
1329444938560507915,16.66
242607604,5.44
1363849998941773827,5.44
79868333,17.44
9499992,5.44
1127679237429833728,12.44
395551144,5.44
35364802,5.44
18441662,5.44
1130192527137673222,21.72
2604868315,5.44
1154245913654644736,215.76
2698746307,5.44
21824280,7.44
1364668327830953984,0.00
22522178,4.00
14253911,1.00
710463119886262272,1.00
29657843,11.00
539234194,1.00
891604211850518529,1.00
1393094021434724354,5.00
1438201851103563779,5.00
29830950,10.00
1318987223232999424,8.44
9321342,2.78
3916461,15.44
75473020,1.00
14763,1.00
1095691,1.00
932382518031949824,1.00
44196397,4.13
51035765,30.00
194694215,3.05
14101591,1.00
617602505,3.05
1388487332093997057,9.53
1392462111780048896,35.00
14096763,5.00
862424772986187778,5.00
60860700,60.00
59598920,60.00
2529971,29.18
1190295156,0.00
42584365,6.00
26942420,1.00
932730431434211328,2.00
3076212136,18.74
759241685427752960,17.15
35599305,5.00
1362121932531855362,4.20
82406745,2.00
3159122144,12.88
116328126,2.00
45126279,45.00
1671952759,45.00
1238896497690697728,5.00
1187743684340715527,7.72
408810847,2.00
220226736,5.00
49744051,20.00
803851265696559105,10.00
1394280026783182856,8.72
308135523,5.00
55501748,3.00
1207411919000223745,5.00
2228960582,4.78
189518354,3.72
1379240803441197059,3.72
2879948613,4.72
402985279,5.00
1206644817339518976,3.34
2455740283,1.11
1227321079812837377,13.44
1444364649026269189,2.00
2281005510,2.00
3153520937,4.72
1352351676548710407,2.00
14642331,12.78
937663623534608385,2.00
461833797,10.00
355743468,4.32
1445940588080140291,10.00
65021644,1.00
463576903,10.10
956417626858840064,23.26
182119735,2.78
897142437344419842,2.78
18094952,2.78
827835916408414212,2.78
30783105,196.54
110485995,7.04
312681953,5.55
1189645155613233153,3.24
268374261,4.32
361988399,4.32
820539740,2.78
1293897127,5.44
241203648,1.00
2227938324,11.34
1360144899685797888,1.00
1459334776557424643,14.00
473640639,10.00
348844712,10.00
21883631,10.00
1066182475917840384,10.00
1365468847080357888,2.72
8632762,5.44
3004231,15.55
2434293948,1.62
1403076033411096576,1.20
291762037,453.85
7184612,2.00
18396070,1.70
3942047054,2.72
447335163,1.23
1119565987085418496,25.00
1364925596455886848,25.00
389527281,25.00
387406990,25.00
998901177864646656,50.00
902600697144856576,5.44
5768872,5.44
891890488990547968,2.72
2864883658,152.72
58916964,2.72
43044215,2.00
166138615,2.72
265717521,2.72
1352453431491964928,4.32
9413702,2.72
18446787,2.72
919913546,2.72
1465157598596972553,29.64
1154793455505354753,1.63
3301582463,2.78
22305803,168.30
1434170736151711746,5.44
969781380325363712,7.72
676573,2.72
469588217,3.00
726597368611655680,2.72
4856945413,4.32
1220546844599537669,4.32
26428817,2.72
346706911,8.16
221487135,0.00
1452308991665713158,4.32
197209564,2.72
68013352,0.00
723305976514781188,0.00
478714722,25.00
110059919,6.00
1138993163706753029,1.23
956670268596015105,4.06
16228398,11.13
1109999887251398659,0.00
20332522,2.72
1465880802,12.72
1369804075861164035,2.72
434739419,0.00
16089776,0.00
584232437,0.00
100190404,4.32
1469455029929009155,10.00
1300546130,2.72
571354985,2.72
35623579,2.72
1190702828664295425,2.72
2222133757,8.16
47087250,2.72
65441369,2.75
186028018,2.72
1258757141088948230,2.72
3069200897,29.90
240381633,2.78
14253109,1.00
122288531,2.72
14130784,2.72
948941934,202.72
473311723,27.00
84276208,5.00
972925788,10.00
169791252,2.72
62709788,1.00
92670272,2.72
14111891,5.43
978284115438039041,5.00
1419671712615084033,8.89
1362443063432531968,10.00
1336381016982790146,2.72
871748320217223169,2.72
1354981975774220292,0.00
1334929059965509633,43.78
1366870373355126788,4.32
1395243128802758658,4.32
74626516,10.00
1364946971509809156,0.00
1450158198644695043,0.00
17754203,4.32
404793000,0.00
305830702,8.61
256053691,1.23
1077265833548828673,1.22
1434139034318774274,1.23
14870484,0.00
25776525,4.32
12,0.01
2050641,1.33
932630991298007041,4.21
1179611794228174849,30.72
1353583313227718657,2.72
319530434,263.62
11894422,252.08
1273831595829530624,250.00
129192100,250.00
154962005,250.00
30410911,100.00
3336154197,3.00
1439769262906691586,2.00
14110443,2.72
14577999,100.00
117178108,100.00
786968521796313088,20.50
2615761034,30.50
1391121772855140353,5.50
2611693359,50.50
1363575031679311874,50.50
896589520199716865,100.00
15809298,100.00
610951507,5.50
1271106041808162816,30.50
44822934,100.00
1306472165978574849,30.50
17328767,15.50
137192093,50.50
1383000459376431105,8.00
1285051033891205120,2.72
212842657,12.72
1200101300307935234,2.72
14518475,4.32
766905846,2.72
4106152514,4.32
981208355115974656,2.72
1394824494385147909,4.32
207617302,10.00
1354120919460040711,2.72
3067091554,3.14
154803074,2.72
731595021950976000,5.44
212778581,2.72
142359854,2.72
1429515705444077572,2.72
57285622,2.72
1146058067244486656,2.72
1379053041995890695,6.00
421271885,5.44
1230676218770579456,2.72
1290056485230133248,4.32
23196942,10.00
1328315487835582466,2.72
1160664587064266764,15.00
1459474302424825857,3.50
238384589,10.00
1425543398807805954,2.00
